accident_type,severity_class,year,x_etrs,y_etrs,lon,lat
MA,1,2022,25503422.950,6681989.540,25.061811,60.250552
MA,1,2022,25496476.150,6673121.490,24.936521,60.170957
MA,1,2022,25503642.480,6682035.030,25.065776,60.250959
MA,1,2022,25505174.010,6677353.340,25.093313,60.208922
MA,1,2022,25494508.580,6675395.560,24.901015,60.191346
MA,1,2022,25493015.870,6671719.120,24.874235,60.158326
MA,1,2022,25507905.140,6676710.540,25.142544,60.203109
MA,1,2022,25505040.800,6677480.720,25.090914,60.210067
MA,1,2022,25505700.230,6677251.620,25.102801,60.208002
MA,1,2022,25504776.880,6677806.810,25.086162,60.212997
MA,1,2022,25497046.000,6674841.510,24.946761,60.186400
MA,2,2022,25511582.980,6683037.190,25.209223,60.259805
MA,1,2022,25503319.800,6681937.020,25.059948,60.250082
MA,1,2022,25497651.220,6672837.920,24.957692,60.168420
MA,1,2022,25498154.200,6676962.150,24.966715,60.205440
MA,1,2022,25507495.470,6680341.770,25.135291,60.235708
MA,1,2022,25497106.290,6672521.040,24.947881,60.165573
MA,1,2022,25498212.270,6681291.810,24.967724,60.244300
MA,1,2022,25499080.040,6681000.760,24.983392,60.241691
MA,1,2022,25497925.670,6681321.830,24.962549,60.244568
MA,1,2022,25500831.740,6681211.600,25.015016,60.243583
MA,1,2022,25493237.240,6676984.390,24.878046,60.205587
MA,2,2022,25504432.350,6678952.520,25.079972,60.223284
MA,1,2022,25497869.040,6673500.800,24.961609,60.174371
MA,1,2022,25496589.500,6680837.780,24.938433,60.240215
MA,2,2022,25496194.230,6671277.930,24.931477,60.154408
MA,2,2022,25495664.880,6674727.670,24.921872,60.185366
MA,1,2022,25504467.940,6677924.960,25.080592,60.214061
MA,1,2022,25509277.100,6678449.350,25.167362,60.218687
MA,1,2022,25493003.770,6680819.040,24.873704,60.240001
MA,1,2022,25494149.670,6680917.410,24.894387,60.240902
MA,1,2022,25496898.370,6672759.330,24.944132,60.167710
MA,1,2022,25502271.290,6685448.790,25.041054,60.281608
MA,2,2022,25491021.740,6679678.830,24.837975,60.229728
MA,2,2022,25503731.620,6679546.200,25.067340,60.228620
MA,1,2022,25503741.630,6677255.050,25.067478,60.208056
MA,1,2022,25495529.580,6673400.510,24.919463,60.173452
MA,2,2022,25493865.480,6681581.160,24.889236,60.246855
MA,1,2022,25494189.210,6679501.000,24.895141,60.228190
MA,1,2022,25496292.470,6672406.490,24.933225,60.164538
MA,1,2022,25505948.640,6680563.730,25.107378,60.237726
MA,1,2022,25493916.620,6680217.660,24.890200,60.234618
MA,1,2022,25504028.820,6679456.840,25.072702,60.227815
MA,1,2022,25497624.330,6675748.900,24.957174,60.194548
MA,1,2022,25496811.750,6672465.300,24.942577,60.165070
MA,1,2022,25501144.960,6680991.100,25.020670,60.241604
MA,1,2022,25496485.590,6679907.850,24.936573,60.231867
MA,1,2022,25496470.850,6673156.490,24.936425,60.171271
MA,1,2022,25505943.200,6680552.450,25.107279,60.237625
MA,1,2022,25504773.940,6677928.630,25.086111,60.214090
MA,1,2022,25494604.120,6679978.410,24.902616,60.232480
MA,2,2022,25498757.850,6679292.060,24.977586,60.226354
MA,1,2022,25497189.060,6672900.180,24.949366,60.168976
MA,1,2022,25496796.750,6674743.950,24.942271,60.185522
MA,1,2022,25496977.860,6676326.520,24.945511,60.199728
MA,1,2022,25504551.230,6680372.190,25.082149,60.236025
MA,1,2022,25498030.340,6674540.420,24.964504,60.183703
MA,1,2022,25502581.810,6677006.890,25.046559,60.205837
MA,1,2022,25497800.430,6674276.070,24.960364,60.181329
MA,2,2022,25494636.860,6680434.310,24.903194,60.236572
MA,2,2022,25498642.840,6677344.630,24.975524,60.208875
MA,1,2022,25497891.630,6676152.740,24.961988,60.198174
MA,1,2022,25496092.960,6674396.840,24.929593,60.182400
MA,1,2022,25498142.010,6675159.510,24.966511,60.189260
MA,2,2022,25495277.690,6677135.740,24.914838,60.206975
MA,1,2022,25498072.220,6674584.680,24.965259,60.184101
MA,2,2022,25497349.990,6675498.770,24.952231,60.192301
MA,1,2022,25497624.910,6675750.700,24.957184,60.194564
MA,2,2022,25498244.240,6677233.340,24.968336,60.207874
MA,1,2022,25502847.770,6681117.570,25.051412,60.242730
MA,1,2022,25504740.950,6681053.290,25.085589,60.242136
MA,1,2022,25496370.310,6673306.190,24.934611,60.172614
MA,1,2022,25502411.580,6680510.410,25.043530,60.237284
MA,1,2022,25497894.400,6676025.430,24.962039,60.197031
MA,1,2022,25502887.640,6679782.710,25.052113,60.230749
MA,1,2022,25496343.440,6679869.680,24.934009,60.231524
MA,1,2022,25493558.510,6677191.070,24.883833,60.207448
MA,1,2022,25492218.450,6673298.120,24.859815,60.172484
MA,1,2022,25498073.940,6676693.490,24.965270,60.203028
MA,1,2022,25508124.690,6683217.720,25.146764,60.261509
MA,2,2022,25504778.900,6677928.450,25.086201,60.214089
MA,1,2022,25496965.560,6673000.590,24.945339,60.169876
MA,1,2022,25497824.850,6674613.580,24.960801,60.184359
MA,1,2022,25491489.720,6681197.250,24.846356,60.243367
MA,1,2022,25504819.350,6677807.880,25.086928,60.213006
MA,1,2022,25494127.460,6680963.630,24.893984,60.241316
MA,1,2022,25497002.660,6677342.360,24.945943,60.208845
MA,1,2022,25503842.040,6682773.020,25.069394,60.257580
MA,2,2022,25497589.790,6681342.660,24.956484,60.244753
MA,1,2022,25500099.150,6682507.920,25.001791,60.255219
MA,2,2022,25500806.830,6682241.620,25.014571,60.252828
MA,2,2022,25498721.240,6680651.600,24.976917,60.238556
MA,1,2022,25504595.050,6680283.410,25.082938,60.235228
MA,2,2022,25496361.910,6672285.680,24.934478,60.163454
MA,1,2022,25498492.770,6678326.720,24.972810,60.217689
MA,1,2022,25504459.420,6678965.830,25.080461,60.223403
MA,1,2022,25500874.280,6685802.960,25.015804,60.284792
MA,1,2022,25497973.720,6677462.780,24.963455,60.209932
MA,1,2022,25498108.760,6676768.930,24.965897,60.203705
MA,2,2022,25500384.680,6681771.370,25.006946,60.248608
MA,2,2022,25496967.650,6677328.980,24.945312,60.208725
MA,1,2022,25497839.540,6675518.630,24.961056,60.192482
MA,2,2022,25499818.860,6680994.350,24.996730,60.241634
MA,2,2022,25497879.820,6673470.340,24.961803,60.174098
MA,1,2022,25494484.730,6677609.620,24.900525,60.211218
MA,1,2022,25491882.000,6672350.820,24.853792,60.163975
MA,1,2022,25503262.950,6677526.790,25.058850,60.210499
MA,1,2022,25496488.360,6672680.330,24.936748,60.166998
MA,1,2022,25497966.960,6678698.060,24.963321,60.221019
MA,1,2022,25500870.140,6679749.960,25.015703,60.230465
MA,2,2022,25496865.850,6674687.910,24.943517,60.185020
MA,1,2022,25494479.230,6677604.210,24.900426,60.211169
MA,1,2022,25493839.490,6681599.250,24.888766,60.247017
MA,1,2022,25497324.220,6675488.210,24.951767,60.192206
MA,1,2022,25501132.240,6685712.020,25.020467,60.283975
MA,1,2022,25501721.300,6680944.810,25.031074,60.241186
MA,1,2022,25494393.630,6680398.740,24.898805,60.236250
MA,2,2022,25497898.690,6676077.440,24.962116,60.197498
MA,1,2022,25503219.180,6681484.370,25.058123,60.246020
MA,1,2022,25493683.360,6680198.590,24.885991,60.234443
MA,1,2022,25498253.100,6677332.840,24.968495,60.208767
MA,1,2022,25493996.100,6681384.290,24.891600,60.245090
MA,1,2022,25499933.060,6681756.040,24.998791,60.248471
MA,1,2022,25496602.820,6671947.500,24.938822,60.160421
MA,1,2022,25504532.770,6679230.220,25.081790,60.225775
MA,1,2022,25495175.880,6672407.270,24.913114,60.164533
MA,1,2022,25496644.540,6677163.440,24.939487,60.207237
MA,1,2022,25507540.560,6677437.610,25.135997,60.209642
MA,1,2022,25497794.930,6673146.240,24.960277,60.171189
MA,1,2022,25492771.630,6672196.010,24.869820,60.162602
MA,1,2022,25496008.630,6672546.570,24.928110,60.165793
MA,2,2022,25494809.950,6675644.970,24.906441,60.193589
MA,2,2022,25502968.530,6677438.610,25.053539,60.209709
MA,2,2022,25508463.810,6683322.180,25.152894,60.262439
MA,2,2022,25496898.220,6677317.010,24.944060,60.208617
MA,2,2022,25494219.370,6680765.740,24.895649,60.239541
MA,1,2022,25495591.430,6673044.450,24.920585,60.170257
MA,1,2022,25501782.060,6675807.370,25.032126,60.195075
MA,1,2022,25498287.490,6676741.150,24.969120,60.203457
MA,1,2022,25496797.760,6681312.690,24.942185,60.244479
MA,1,2022,25495546.200,6675138.990,24.919724,60.189056
MA,1,2022,25491767.070,6680830.370,24.851378,60.240079
MA,1,2022,25501806.450,6685532.020,25.032652,60.282357
MA,1,2022,25494088.980,6681589.030,24.893271,60.246929
MA,1,2022,25502328.130,6683703.140,25.042061,60.265940
MA,1,2022,25493450.840,6676654.930,24.881909,60.202634
MA,2,2022,25497726.710,6677845.970,24.958996,60.213370
MA,2,2022,25493594.800,6681525.730,24.884351,60.246353
MA,2,2022,25497193.460,6672773.560,24.949447,60.167840
MA,1,2022,25494419.180,6676608.620,24.899370,60.202233
MA,1,2022,25501913.900,6675700.690,25.034502,60.194117
MA,1,2022,25502200.850,6680437.440,25.039726,60.236630
MA,2,2022,25494194.500,6677299.760,24.895299,60.208433
MA,2,2022,25502663.240,6677072.640,25.048028,60.206427
MA,1,2022,25497643.170,6675731.370,24.957513,60.194390
MA,1,2022,25504710.600,6680372.160,25.085026,60.236023
MA,1,2022,25496120.570,6680978.360,24.929965,60.241472
MA,1,2022,25500691.590,6680013.110,25.012482,60.232827
MA,1,2022,25496363.880,6675592.120,24.934454,60.193131
MA,1,2022,25493998.340,6672588.100,24.891901,60.166141
MA,1,2022,25501913.430,6675446.440,25.034491,60.191835
MA,1,2022,25504687.110,6678148.970,25.084550,60.216069
MA,1,2022,25494713.390,6680403.080,24.904577,60.236293
MA,2,2022,25502274.890,6673545.440,25.040985,60.174771
MA,1,2022,25503814.450,6679525.520,25.068834,60.228433
MA,1,2022,25496102.290,6673033.600,24.929788,60.170165
MA,1,2022,25494623.590,6677774.000,24.903025,60.212695
MA,1,2022,25501219.990,6675519.680,25.021992,60.192495
MA,1,2022,25496164.550,6672737.480,24.930915,60.167508
MA,1,2022,25493329.810,6677090.790,24.879712,60.206544
MA,1,2022,25492608.610,6674886.580,24.866786,60.186748
MA,2,2022,25496694.350,6677197.640,24.940385,60.207544
MA,1,2022,25497849.910,6681308.110,24.961181,60.244445
MA,1,2022,25497625.090,6675749.570,24.957187,60.194554
MA,1,2022,25497779.150,6674950.580,24.959973,60.187383
MA,1,2022,25492560.030,6680221.040,24.865715,60.234626
MA,1,2022,25505184.210,6677640.360,25.093504,60.211498
MA,1,2022,25495026.350,6678715.650,24.910267,60.221152
MA,2,2022,25497230.450,6673678.940,24.950101,60.175966
MA,2,2022,25499495.190,6678734.060,24.990892,60.221347
MA,1,2022,25507481.300,6678893.570,25.134982,60.222710
MA,1,2022,25497858.010,6674349.540,24.961401,60.181989
MA,1,2022,25495429.230,6680730.270,24.917490,60.239238
MA,1,2022,25504789.870,6679113.050,25.086427,60.224721
MA,2,2022,25502702.170,6680137.090,25.048771,60.233931
MA,1,2022,25502035.010,6676186.840,25.036690,60.198480
MA,1,2022,25502228.870,6676523.250,25.040189,60.201498
MA,1,2022,25496845.060,6681590.290,24.943035,60.246971
MA,2,2022,25498733.990,6681066.280,24.977144,60.242278
MA,1,2022,25494637.030,6679873.370,24.903212,60.231538
MA,1,2022,25497730.090,6682706.800,24.959002,60.256998
MA,1,2022,25496067.900,6673922.240,24.929151,60.178141
MA,1,2022,25497878.320,6676010.190,24.961750,60.196894
MA,1,2022,25505807.510,6677288.480,25.104736,60.208331
MA,1,2022,25493890.930,6677365.730,24.889823,60.209020
MA,1,2022,25496512.680,6672943.050,24.937182,60.169356
MA,1,2022,25496385.410,6672820.970,24.934891,60.168259
MA,1,2022,25504233.280,6679551.750,25.076393,60.228665
MA,1,2022,25503629.980,6677244.600,25.065465,60.207963
MA,1,2022,25495418.650,6675123.380,24.917426,60.188914
MA,1,2022,25501407.390,6675536.800,25.025370,60.192648
MA,1,2022,25494262.780,6672635.830,24.896662,60.166573
MA,2,2022,25492861.500,6680956.290,24.871131,60.241230
MA,1,2022,25493403.620,6676768.710,24.881053,60.203654
MA,1,2022,25502318.360,6685434.160,25.041904,60.281476
MA,1,2022,25504154.680,6679479.980,25.074973,60.228021
MA,2,2022,25497693.470,6674498.300,24.958434,60.183323
MA,1,2022,25494304.910,6682341.680,24.897149,60.253687
MA,1,2022,25503055.570,6679765.190,25.055144,60.230591
MA,1,2022,25495415.770,6674427.550,24.917389,60.182669
MA,1,2022,25507413.480,6679856.350,25.133793,60.231353
MA,2,2022,25502911.840,6681177.520,25.052570,60.243268
MA,2,2022,25496549.250,6672588.010,24.937847,60.166170
MA,1,2022,25492348.120,6674733.930,24.862097,60.185373
MA,1,2022,25497198.990,6682324.070,24.949415,60.253559
MA,2,2022,25494956.730,6680579.960,24.908964,60.237884
MA,1,2022,25493886.540,6680525.260,24.889648,60.237378
MA,1,2022,25504053.680,6682221.550,25.073205,60.252629
