rank,count,weighted_score,sev_1,sev_2,sev_3,type_MA,type_PP,type_JK,type_MP,lat,lon
99,91,102.0,80,11,0,74,8,8,1,60.164622,24.936986
100,88,102.0,74,14,0,64,4,19,1,60.169207,24.936926
101,75,102.0,48,27,0,45,27,2,1,60.188785,24.969052
102,79,100.0,58,21,0,61,6,12,0,60.198639,24.934758
103,78,100.0,56,22,0,69,5,2,2,60.200942,24.945030
104,80,99.0,61,19,0,72,4,2,2,60.183104,24.922967
105,84,98.0,70,14,0,78,1,1,4,60.174828,24.961654
106,79,98.0,60,19,0,58,3,13,5,60.184952,24.923051
107,88,97.0,79,9,0,79,1,3,5,60.165190,24.951257
108,82,95.0,69,13,0,66,0,13,3,60.169153,24.950944
109,80,95.0,65,15,0,70,0,8,2,60.163245,24.938650
110,70,94.0,48,21,1,56,0,11,3,60.182540,24.956543
111,83,93.0,73,10,0,68,7,7,1,60.165071,24.939081
112,76,93.0,59,17,0,62,5,5,4,60.210304,25.090679
113,76,93.0,59,17,0,58,9,2,7,60.208475,24.895051
114,73,93.0,53,20,0,66,2,1,4,60.235384,24.859277
115,65,93.0,39,25,1,44,6,15,0,60.174749,24.932601
116,85,92.0,78,7,0,77,4,1,3,60.213300,25.084981
117,79,92.0,66,13,0,65,2,9,3,60.187040,24.917290
118,79,92.0,66,13,0,65,9,2,3,60.169116,24.920914
119,76,92.0,62,13,1,71,0,3,2,60.198686,24.901089
120,73,92.0,56,16,1,67,3,3,0,60.177076,24.950322
121,72,92.0,52,20,0,44,4,22,2,60.168658,24.931050
122,71,91.0,51,20,0,59,2,7,3,60.183275,24.924797
123,71,91.0,51,20,0,57,10,4,0,60.185438,24.940814
124,65,91.0,43,20,2,43,0,22,0,60.185397,24.921425
125,82,90.0,74,8,0,76,1,3,2,60.165366,24.931285
126,72,90.0,54,18,0,56,11,0,5,60.179209,24.956896
127,67,90.0,44,23,0,51,12,2,2,60.184888,24.933077
128,64,90.0,40,23,1,36,11,15,2,60.193098,24.894902
129,78,89.0,67,11,0,64,1,11,2,60.182711,24.926844
130,76,89.0,63,13,0,64,10,2,0,60.196991,24.901311
