rank,count,weighted_score,sev_1,sev_2,sev_3,type_MA,type_PP,type_JK,type_MP,lat,lon
99,7,8.0,6,1,0,7,0,0,0,60.240654,24.894717
100,7,8.0,6,1,0,7,0,0,0,60.241143,25.030993
101,7,8.0,6,1,0,6,1,0,0,60.170800,24.920780
102,6,8.0,4,2,0,5,0,1,0,60.187001,24.914790
103,6,8.0,4,2,0,5,0,1,0,60.165314,24.935007
104,6,8.0,4,2,0,6,0,0,0,60.192746,24.952887
105,6,8.0,4,2,0,6,0,0,0,60.241042,24.947246
106,6,8.0,4,2,0,6,0,0,0,60.208339,25.069233
107,6,8.0,4,2,0,3,0,3,0,60.169467,24.938823
108,6,8.0,4,2,0,6,0,0,0,60.261022,25.072377
109,6,8.0,4,2,0,6,0,0,0,60.231314,25.051238
110,5,8.0,2,3,0,1,0,4,0,60.165024,24.947225
111,5,8.0,2,3,0,5,0,0,0,60.208772,24.968379
112,5,8.0,2,3,0,3,1,1,0,60.192795,25.035192
113,5,8.0,2,3,0,4,0,1,0,60.258593,25.070674
114,5,8.0,2,3,0,5,0,0,0,60.185168,24.934158
115,5,8.0,2,3,0,2,2,0,1,60.162705,24.859444
116,5,8.0,2,3,0,4,0,1,0,60.177027,24.950227
117,5,8.0,2,3,0,1,2,2,0,60.169428,24.928904
118,5,8.0,2,3,0,4,1,0,0,60.202714,24.925182
119,4,8.0,0,4,0,0,2,2,0,60.238598,24.928496
120,4,8.0,0,4,0,4,0,0,0,60.238305,24.854251
